Titre,URL,Image,Date,Etat,Prix,Nb_enchere,FDP
Carte Pokémon Shaymin V 152/172 Pokémon Stars Étincelante Neuf FR Full Art Holo,https://www.ebay.fr/itm/354035207779?hash=item526e248e63:g:S-kAAOSwX7BiG55u,https://i.ebayimg.com/thumbs/images/g/S-kAAOSwX7BiG55u/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"13,00 EUR",11 enchères,"+2,00 EUR (livraison)"
Carte Pokemon Deoxys 16/107 Ex Deoxys Holo FR,https://www.ebay.fr/itm/374049073193?hash=item57170fe829:g:KqAAAOSw-wtibD9c,https://i.ebayimg.com/thumbs/images/g/KqAAAOSw-wtibD9c/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"4,10 EUR",6 enchères,"+1,74 EUR (livraison)"
Carte Pikachu Gold Metal Certified PCA,https://www.ebay.fr/itm/265669102080?hash=item3ddb1cca00:g:zwEAAOSwpl1iYwIP,https://i.ebayimg.com/thumbs/images/g/zwEAAOSwpl1iYwIP/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"86,00 EUR",13 enchères,"+8,90 EUR (livraison)"
Carte Pokemon Tortank 2/102 Holo 25 Ans Celebrations,https://www.ebay.fr/itm/203929663824?hash=item2f7b27b950:g:dFgAAOSwT8hibDkM,https://i.ebayimg.com/thumbs/images/g/dFgAAOSwT8hibDkM/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"10,00 EUR",1 enchère,Livraison gratuite
Carte Pokemon Ectoplasma VMAX 271/264 secrète Poing de Fusion EB08 FR Neuf,https://www.ebay.fr/itm/224965821836?hash=item346102058c:g:enMAAOSwGQVibmHq,https://i.ebayimg.com/thumbs/images/g/enMAAOSwGQVibmHq/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"135,00 EUR",,Livraison gratuite
Carte Pokémon Ethernatos V GOLD SV121/SV122 Destinées Radieuses EB4.5 NEUVE FR,https://www.ebay.fr/itm/195022582243?hash=item2d684071e3:g:vPAAAOSwZoZicBpK,https://i.ebayimg.com/thumbs/images/g/vPAAAOSwZoZicBpK/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"19,50 EUR",,"+1,60 EUR (livraison)"
Carte Pokémon Energie Mille Poings 182/163 EB05 Styles de Combat FR ,https://www.ebay.fr/itm/185407148052?hash=item2b2b209014:g:YCYAAOSwpk5ibD0f,https://i.ebayimg.com/thumbs/images/g/YCYAAOSwpk5ibD0f/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"10,50 EUR",3 enchères,"+1,90 EUR (livraison)"
Carte Pokémon Mimiqui Vmax 069/172 EB09 Epée Bouclier Stars Etincelantes FR NEUF,https://www.ebay.fr/itm/363821046994?hash=item54b56c9cd2:g:gnQAAOSw9OZiao8b,https://i.ebayimg.com/thumbs/images/g/gnQAAOSw9OZiao8b/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"5,00 EUR",1 enchère,"+2,00 EUR (livraison)"
Carte Pokémon Machoc 52/102 - Edition 1 Set de base (1999) - Très Bon Etat,https://www.ebay.fr/itm/224963280527?hash=item3460db3e8f:g:U2kAAOSwExViYwFW,https://i.ebayimg.com/thumbs/images/g/U2kAAOSwExViYwFW/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"10,00 EUR",1 enchère,"+2,00 EUR (livraison)"
Carte Pokemon LUCARIO SWSH186 Holo Promo AP Epée et Bouclier 9 EB09 FR NEUF,https://www.ebay.fr/itm/363821046435?hash=item54b56c9aa3:g:cJwAAOSwWC1iao2J,https://i.ebayimg.com/thumbs/images/g/cJwAAOSwWC1iao2J/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"10,00 EUR",1 enchère,"+2,00 EUR (livraison)"
Carte Pokémon Entei 34 Promo Wizards 2001 - US - PCA 9,https://www.ebay.fr/itm/313982443500?hash=item491acfdfec:g:5vsAAOSwAK9iUDXJ,https://i.ebayimg.com/thumbs/images/g/5vsAAOSwAK9iUDXJ/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"40,00 EUR",1 enchère,"+2,80 EUR (livraison)"
Carte Pokémon Sulfura SWSH185 Promo AP EB9 Stars Etincelantes Neuve FR,https://www.ebay.fr/itm/363821045563?hash=item54b56c973b:g:ngkAAOSwdxtiaozD,https://i.ebayimg.com/thumbs/images/g/ngkAAOSwdxtiaozD/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"15,50 EUR",3 enchères,"+2,00 EUR (livraison)"
Carte Pokémon - Libégon V FA 164/172 - EB9/Stars Étincelantes Neuf,https://www.ebay.fr/itm/313982435604?hash=item491acfc114:g:FnYAAOSwavRicYDH,https://i.ebayimg.com/thumbs/images/g/FnYAAOSwavRicYDH/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"9,00 EUR",2 enchères,"+0,50 EUR (livraison)"
Carte Pokemon neuve Ectoplasma Vmax157/264 juste sortie booster,https://www.ebay.fr/itm/403630568204?hash=item5dfa41b30c:g:3B8AAOSwDkViWcVI,https://i.ebayimg.com/thumbs/images/g/3B8AAOSwDkViWcVI/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",,"17,00 EUR",1 enchère,"+2,00 EUR (livraison)"
Carte Pokémon - Reshiram 113/114 - 25 Ans Célébration - Neuve - FR,https://www.ebay.fr/itm/403637932697?hash=item5dfab21299:g:31MAAOSwXeVicYAF,https://i.ebayimg.com/thumbs/images/g/31MAAOSwXeVicYAF/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"15,50 EUR",13 enchères,"+2,50 EUR (livraison)"
M Tortank EX - XY12:Evolutions - 22/108 - Carte Pokemon Neuve Française,https://www.ebay.fr/itm/134101495151?hash=item1f39126d6f:g:xuIAAOSwWu9ibDnV,https://i.ebayimg.com/thumbs/images/g/xuIAAOSwWu9ibDnV/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"4,50 EUR",1 enchère,
carte pokemon 1ere édition ,https://www.ebay.fr/itm/403630553778?hash=item5dfa417ab2:g:BKQAAOSwRadiTb4S,https://i.ebayimg.com/thumbs/images/g/BKQAAOSwRadiTb4S/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"15,00 EUR",1 enchère,Livraison gratuite
POKEMON JAPANESE CARD RARE HOLO CARTE Ampharos Rare Holo 019/054 R 1 ED XY11 NM,https://www.ebay.fr/itm/154805339472?hash=item240b1e0550:g:Y-UAAOSwamxh6sqb,https://i.ebayimg.com/thumbs/images/g/Y-UAAOSwamxh6sqb/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",D'occasion,"6,00 EUR",,Livraison gratuite
Carte Pokémon Mew EX 88/92 Célébrations 25 ans Neuve FR,https://www.ebay.fr/itm/403637919064?hash=item5dfab1dd58:g:wjAAAOSw~ZBicX02,https://i.ebayimg.com/thumbs/images/g/wjAAAOSw~ZBicX02/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"17,50 EUR",10 enchères,"+2,50 EUR (livraison)"
Carte Pokémon Pikachu de (Pikachu Anniversaire) Promo 24 Célébrations 25 ans FR,https://www.ebay.fr/itm/403637916485?hash=item5dfab1d345:g:D9kAAOSw~rxicXxP,https://i.ebayimg.com/thumbs/images/g/D9kAAOSw~rxicXxP/s-l225.webp,"Vendu 6 mai 2022
Objet vendu",Neuf,"8,50 EUR",7 enchères,"+2,50 EUR (livraison)"
